post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:Application,attribute_data:Application,attribute_default:Application,attribute:Applications,attribute_data:Applications,attribute_default:Applications,"attribute:Bowl Size","attribute_data:Bowl Size","attribute_default:Bowl Size",attribute:Brand,attribute_data:Brand,attribute_default:Brand,"attribute:Brand Name","attribute_data:Brand Name","attribute_default:Brand Name",attribute:Capacity,attribute_data:Capacity,attribute_default:Capacity,attribute:Color,attribute_data:Color,attribute_default:Color,attribute:Colors,attribute_data:Colors,attribute_default:Colors,attribute:Dimension,attribute_data:Dimension,attribute_default:Dimension,attribute:Finish,attribute_data:Finish,attribute_default:Finish,attribute:Group,attribute_data:Group,attribute_default:Group,"attribute:Half Bowl Dimensions","attribute_data:Half Bowl Dimensions","attribute_default:Half Bowl Dimensions","attribute:Inlet Connection Size","attribute_data:Inlet Connection Size","attribute_default:Inlet Connection Size","attribute:Installation Type","attribute_data:Installation Type","attribute_default:Installation Type","attribute:Key Feature","attribute_data:Key Feature","attribute_default:Key Feature",attribute:Material,attribute_data:Material,attribute_default:Material,"attribute:Package Content","attribute_data:Package Content","attribute_default:Package Content","attribute:Package Contents","attribute_data:Package Contents","attribute_default:Package Contents",attribute:Quantity,attribute_data:Quantity,attribute_default:Quantity,"attribute:Room Type","attribute_data:Room Type","attribute_default:Room Type","attribute:Salient Features","attribute_data:Salient Features","attribute_default:Salient Features","attribute:Seating Height","attribute_data:Seating Height","attribute_default:Seating Height","attribute:Shelf Life","attribute_data:Shelf Life","attribute_default:Shelf Life","attribute:Single Bowl Dimensions","attribute_data:Single Bowl Dimensions","attribute_default:Single Bowl Dimensions",attribute:Size,attribute_data:Size,attribute_default:Size,"attribute:Suitable For","attribute_data:Suitable For","attribute_default:Suitable For","attribute:Surface Finish","attribute_data:Surface Finish","attribute_default:Surface Finish",attribute:Thichness,attribute_data:Thichness,attribute_default:Thichness,attribute:Thickness,attribute_data:Thickness,attribute_default:Thickness,"attribute:Trap Size","attribute_data:Trap Size","attribute_default:Trap Size","attribute:Trap Type","attribute_data:Trap Type","attribute_default:Trap Type",attribute:Type,attribute_data:Type,attribute_default:Type,attribute:Warranty,attribute_data:Warranty,attribute_default:Warranty,attribute:Weight,attribute_data:Weight,attribute_default:Weight,attribute:pa_material,attribute_data:pa_material,attribute_default:pa_material
"Kamal Angle Cock - Galaxy GLX-2313",kamal-angle-cock-galaxy-glx-2313,,3836,"Our Angle Valve Made of High-quality grade A solid Brass, not stainless steel, It's corrosion-resistant and durable with chrome finish, build to resist scratches, corrosion, and tarnishing ensuring quality and longevity. Package Contains 1 Piece Angle Cock with Wall Flange.",,publish,,0,"2020-07-22 13:41:28",1,open,KMLGLX2313,,,no,no,8,340,265,,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/07/Galaxy2-3.jpg ! alt :  ! title : Galaxy2 ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/07/Galaxy2-3-1.jpg ! alt :  ! title : Galaxy2-3 ! desc :  ! caption : ",,https://shop.abchauz.com/product/kamal-angle-cock-galaxy-glx-2313/,simple,,"Bathroom > Accessories|Bathroom > Accessories > Angle Cock/Stop Cock",,,,,,,,,,,,Kamal,3|1|0,,,,,,,,,,,,,,,,,Chrome,1|1|0,,Accessories,5|0|0,,,,,,,,,,,,,,Brass,0|1|0,,"Angle Cock with Flange",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3 Years",4|1|0,,,,,,,
"Kamal Angle Cock (2x1) - Eco ANG-1530",kamal-angle-cock-2x1-eco-ang-1530,,3837,"Our Angle Valve Made of High-quality grade A solid Brass, not stainless steel, It's corrosion-resistant and durable with chrome finish, build to resist scratches, corrosion, and tarnishing ensuring quality and longevity. Package Contains 1 Piece Angle Cock with Wall Flange",.,publish,,0,"2020-07-22 13:41:28",1,open,KMLANG1530,,,no,no,36,465,362,,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/07/2x1-Eco-ANG1530-1.jpg ! alt :  ! title : 2x1 Eco-ANG1530 ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/07/2x1-Eco-ANG1530-3.jpg ! alt :  ! title : 2x1 Eco-ANG1530 ! desc :  ! caption : ",,https://shop.abchauz.com/product/kamal-angle-cock-2x1-eco-ang-1530/,simple,,"Bathroom > Accessories|Bathroom > Accessories > Angle Cock/Stop Cock",,,,,,,,,,,,Kamal,3|1|0,,,,,,,,,,,,,,,,,Chrome,1|1|0,,Accessories,5|0|0,,,,,,,,,,,,,,Brass,0|1|0,,"Angle Cock with Flange",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3 Years",4|1|0,,,,,,,
"Kamal Angle Cock - Alto ALT-2013",kamal-angle-cock-alto-alt-2013,,3838,"Our Angle Valve Made of High-quality grade A solid Brass, not stainless steel, It's corrosion-resistant and durable with chrome finish, build to resist scratches, corrosion, and tarnishing ensuring quality and longevity. Box Contains one Angle Cock with wall Flange",,publish,,0,"2020-07-22 13:41:29",1,open,KMLALT2013,,,no,no,30,340,265,,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/07/Alto-1.jpeg ! alt :  ! title : Alto ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/07/Alto-5.jpg ! alt :  ! title : Alto-5 ! desc :  ! caption : ",,https://shop.abchauz.com/product/kamal-angle-cock-alto-alt-2013/,simple,,"Bathroom > Accessories|Bathroom > Accessories > Angle Cock/Stop Cock",,,,,,,,,,,,Kamal,3|1|0,,,,,,,,,,,,,,,,,Chrome,1|1|0,,Accessories,5|0|0,,,,,,,,,,,,,,Brass,0|1|0,,"Angle Cock with Flange",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3 Years",4|1|0,,,,,,,
"Angle Cock with Hook ANG-1521",angle-cock-with-hook-ang-1521,,3839,"Our Angle Valve with Hook Made of High-quality grade A solid Brass, not stainless steel, It's corrosion-resistant and durable with a chrome finish, build to resist scratches, corrosion, and tarnishing ensuring quality and longevity. Package Content: 1 Piece angle cock with wall flange.",,publish,,0,"2020-07-22 13:41:29",1,open,KMLANG1521,,,no,no,8,465,362,,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/07/With-hook-ANG-1521-3.jpg ! alt :  ! title : With hook ANG 1521 ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/07/With-hook-ANG-1521-3-1.jpg ! alt :  ! title : With hook ANG 1521-3 ! desc :  ! caption : ",,https://shop.abchauz.com/product/angle-cock-with-hook-ang-1521/,simple,,"Bathroom > Accessories|Bathroom > Accessories > Angle Cock/Stop Cock",,,,,,,,,,,,Kamal,3|1|0,,,,,,,,,,,,,,,,,Chrome,1|1|0,,Accessories,5|0|0,,,,,,,,,,,,,,Brass,0|1|0,,"Angle Cock Only",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3 Years",4|1|0,,,,,,,
"Kamal Swan Neck Pillar Cock - Alive LIV-3221",kamal-swan-neck-pillar-cock-liva-liv-3221,,3840,"Featuring a simple, streamlined design, the faucet lets you easily adjust both water volume and temperature with its single lever handle. This faucet performance very excellent and that's the specialty of this product.",,publish,,0,"2020-07-22 13:41:29",1,open,KMLLIV3221,,,no,no,5,1210,942,,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/07/LIV3221-3.jpg ! alt :  ! title : LIV3221 ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/07/LIV3221-3-1.jpg ! alt :  ! title : LIV3221-3 ! desc :  ! caption : ",,https://shop.abchauz.com/product/kamal-swan-neck-pillar-cock-liva-liv-3221/,simple,,"Bathroom|Taps &amp; Mixers",,,,,,,,,,,,,,,Kamal,4|1|0,,,,,,,,,,,,,,Chrome,0|1|0,,,,,,,,,,,,,,"Anti Corrosive and Easy to Clean..",3|1|0,,Brass,1|1|0,,"Pillar Cock Only",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elbow Action Pillar Cock - Nova LAB-0693",elbow-action-pillar-cock-nova-lab-0693,,3841,,,publish,,0,"2020-07-22 13:41:29",1,open,KMLLAB0693,,,no,no,6,915,713,0.7,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/07/Nova-elbow-action.jpg ! alt :  ! title : Nova-elbow-action.jpg ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/07/Nova-elbow-action-3.jpg ! alt :  ! title : Nova-elbow action-3 ! desc :  ! caption : ",,https://shop.abchauz.com/product/elbow-action-pillar-cock-nova-lab-0693/,simple,,"Bathroom|Taps &amp; Mixers",,,,,,,,,,,,,,,Kamal,4|1|0,,,,,,,,,,,,,,Chrome,0|1|0,,,,,,,,,,,,,,"Anti Corrosive and Easy to Clean..",3|1|0,,Brass,1|1|0,,"Pillar Cock Only",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamal One Way Pillar Cock - Galaxy GLX-2321",kamal-one-way-pillar-cock-galaxy-glx-2321,,3842,"Kamal Deck Mounted Pillar Faucet - Galaxy, GLX-2321 is a premium quality Bath Taps from Kamal. Manufactured by using quality assured material and advanced techniques, which make them up to the standard in this highly challenging field, Thus Kamal products are widely acknowledged in the market for their high quality. We are dedicatedly involved in providing an excellent quality array of Kamal Bath Taps.",,publish,,0,"2020-07-22 13:41:29",1,open,KMLGLX2321,,,no,no,17,775,604,,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/07/Galaxy-one-way-1.jpeg ! alt :  ! title : Galaxy-one way ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/07/galaxy-pillar.jpg ! alt :  ! title : galaxy pillar ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/07/Galaxy-one-way-3.jpg ! alt :  ! title : Galaxy-one way-3 ! desc :  ! caption : ",,https://shop.abchauz.com/product/kamal-one-way-pillar-cock-galaxy-glx-2321/,simple,,"Bathroom|Taps &amp; Mixers",,,,,,,,,,,,,,,Kamal,4|1|0,,,,,,,,,,,,,,Chrome,0|1|0,,,,,,,,,,,,,,"Anti Corrosive and Easy to Clean..",3|1|0,,Brass,1|1|0,,"Pillar Cock Only",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamal Long Body Bib Cock - Orion ORN-2614",kamal-long-body-bib-cock-orion-orn-2614,,3843,"This Faucet is a premium quality Bath Taps from Kamal. Manufactured by using quality assured material and advanced techniques, which make them up to the standard in this highly challenging field, Thus Kamal products are widely acknowledged in the market for their high quality. We are dedicatedly involved in providing an excellent quality array of Kamal Bath Taps.",,publish,,0,"2020-07-22 13:41:29",1,open,KMLORN2614,,,no,no,1,660,514,,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/07/ORN2614-4.jpg ! alt :  ! title : ORN2614 ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/07/ORN2614-3-1.jpg ! alt :  ! title : ORN2614-3 ! desc :  ! caption : ",,https://shop.abchauz.com/product/kamal-long-body-bib-cock-orion-orn-2614/,simple,,"Bathroom|Taps &amp; Mixers",,,,,,,,,,,,,,,Kamal,4|1|0,,,,,,,,,,,,,,Chrome,0|1|0,,,,,,,,,,,,,,"Anti Corrosive and Easy to Clean..",3|1|0,,Brass,1|1|0,,"Bib Cock with Flange",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamal Nozzle Bib Cock - FLT FLT-3416",kamal-nozzle-bib-cock-flt-flt-3416,,3844,"This Faucet is a premium quality Bath Taps from Kamal. Manufactured by using quality assured material and advanced techniques, which make them up to the standard in this highly challenging field, Thus Kamal products are widely acknowledged in the market for their high quality. We are dedicatedly involved in providing an excellent quality array of Kamal Bath Taps.",,publish,,0,"2020-07-22 13:41:29",1,open,KMLFLT3416,,,no,no,0,550,428,,,,,,,outofstock,no,no,,yes,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/07/FLT-Nozzle-1.jpg ! alt :  ! title : FLT-Nozzle ! desc :  ! caption : ",,https://shop.abchauz.com/product/kamal-nozzle-bib-cock-flt-flt-3416/,simple,outofstock,"Bathroom|Taps &amp; Mixers",,,,,,,,,,,,,,,Kamal,4|1|0,,,,,,,,,,,,,,Chrome,0|1|0,,,,,,,,,,,,,,"Anti Corrosive and Easy to Clean..",3|1|0,,Brass,1|1|0,,"Bib Cock with Flange",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamal Sink Cock - Ultima DXY-2222",kamal-sink-cock-ultima-dxy-2222,,3845,"This Faucet is a premium quality Bath Taps from Kamal. Manufactured by using quality assured material and advanced techniques, which make them up to the standard in this highly challenging field, Thus Kamal products are widely acknowledged in the market for their high quality. We are dedicatedly involved in providing an excellent quality array of Kamal Bath Taps.",,publish,,0,"2020-07-22 13:41:29",1,open,KMLDXY2222,,,no,no,4,880,685,,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/07/Galaxy-one-way-2.jpeg ! alt :  ! title : Galaxy-one way ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/07/DXY-2222-3.jpg ! alt :  ! title : DXY-2222-3 ! desc :  ! caption : ",,https://shop.abchauz.com/product/kamal-sink-cock-ultima-dxy-2222/,simple,,"Kitchen|Kitchen > Kitchen Mixers/Faucets",,,,,,,,,,,,,,,Kamal,4|1|0,,,,,,,,,,,,,,Chrome,0|1|0,,,,,,,,,,,,,,"Anti Corrosive and Easy to Clean..",3|1|0,,Brass,1|1|0,,"Sink Cock with Flange",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamal Sink Cock - Vista VST-2522",kamal-sink-cock-vista-vst-2522,,3846,"This Faucet is a premium quality Bath Taps from Kamal. Manufactured by using quality assured material and advanced techniques, which make them up to the standard in this highly challenging field, Thus Kamal products are widely acknowledged in the market for their high quality. We are dedicatedly involved in providing an excellent quality array of Kamal Bath Taps.",,publish,,0,"2020-07-22 13:41:29",1,open,KMLVST2522,,,no,no,4,1000,779,,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/07/Vista-2.jpeg ! alt :  ! title : Vista ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/07/Vista-3.jpg ! alt :  ! title : Vista-3 ! desc :  ! caption : ",,https://shop.abchauz.com/product/kamal-sink-cock-vista-vst-2522/,simple,,"Kitchen|Kitchen > Kitchen Mixers/Faucets",,,,,,,,,,,,,,,Kamal,4|1|0,,,,,,,,,,,,,,Chrome,0|1|0,,,,,,,,,,,,,,"Anti Corrosive and Easy to Clean..",3|1|0,,Brass,1|1|0,,"Sink Cock with Flange",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamal Sink Cock - Alive LIV-3222",kamal-sink-cock-liva-liv-3222,,3847,"This Faucet is a premium quality Bath Taps from Kamal. Manufactured by using quality assured material and advanced techniques, which make them up to the standard in this highly challenging field, Thus Kamal products are widely acknowledged in the market for their high quality. We are dedicatedly involved in providing an excellent quality array of Kamal Bath Taps.",,publish,,0,"2020-07-22 13:41:29",1,open,KMLLIV3222,,,no,no,8,1125,576,,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/07/Liva-6.jpg ! alt :  ! title : Liva ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/07/Liva-3-2.jpg ! alt :  ! title : Liva-3 ! desc :  ! caption : ",,https://shop.abchauz.com/product/kamal-sink-cock-liva-liv-3222/,simple,,"Kitchen|Kitchen > Kitchen Mixers/Faucets",,,,,,,,,,,,,,,Kamal,4|1|0,,,,,,,,,,,,,,Chrome,0|1|0,,,,,,,,,,,,,,"Anti Corrosive and Easy to Clean..",3|1|0,,Brass,1|1|0,,"Sink Cock with Flange",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamal Swan Neck Sink Cock - Fusion FUS-3321",kamal-swan-neck-sink-cock-fusion-fus-3321,,3848,"This Faucet is a premium quality Bath Taps from Kamal. Manufactured by using quality assured material and advanced techniques, which make them up to the standard in this highly challenging field, Thus Kamal products are widely acknowledged in the market for their high quality. We are dedicatedly involved in providing an excellent quality array of Kamal Bath Taps.",,publish,,0,"2020-07-22 13:41:29",1,open,KMLFUS3321,,,no,no,2,1140,888,,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/07/Fusion-2.jpeg ! alt :  ! title : Fusion ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/07/Fusion-3-2.jpg ! alt :  ! title : Fusion-3 ! desc :  ! caption : ",,https://shop.abchauz.com/product/kamal-swan-neck-sink-cock-fusion-fus-3321/,simple,,"Kitchen|Kitchen > Kitchen Mixers/Faucets",,,,,,,,,,,,,,,Kamal,4|1|0,,,,,,,,,,,,,,Chrome,0|1|0,,,,,,,,,,,,,,"Anti Corrosive and Easy to Clean..",3|1|0,,Brass,1|1|0,,"Sink Cock Only",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nozzle Bib Cock - Step STP-2716",nozzle-bib-cock-step-stp-2716,,3849,"Kamal brings to you a magic brass bib tap nozzle cock with wall flange. The product made up of brass and Chrome Finished. Kamal provides its clients with innovative bathroom faucets, accessories, showers, and specialty products under its Kamal brand. If you have been waiting to build the bathroom of your dream choose Kamal products to bring your bathroom design ideas to life.",,publish,,0,"2020-07-22 13:41:29",1,open,KMLSTP2716,,,no,no,1,560,436,,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/07/Step-Nozzle-STP2716-1.jpg ! alt :  ! title : Step Nozzle- STP2716 ! desc :  ! caption : ",,https://shop.abchauz.com/product/nozzle-bib-cock-step-stp-2716/,simple,,"Bathroom|Taps &amp; Mixers",,,,,,,,,,,,,,,Kamal,4|1|0,,,,,,,,,,,,,,Chrome,0|1|0,,,,,,,,,,,,,,"Anti Corrosive and Easy to Clean..",3|1|0,,Brass,1|1|0,,"Bib Cock with Flange",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamal Pillar Cock - Fusion FUS-3311",kamal-pillar-cock-fusion-fus-3311,,3850,"This Faucet is a premium quality Bath Taps from Kamal. Manufactured by using quality assured material and advanced techniques, which make them up to the standard in this highly challenging field, Thus Kamal products are widely acknowledged in the market for their high quality. It's corrosion-resistant and durable with chrome finish, build to resist scratches, and tarnishing ensuring quality and longevity.",,publish,,0,"2020-07-22 13:41:29",1,open,KMLFUS3311,,,no,no,1,725,565,,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/07/Fusion-FUS3311-3.jpg ! alt :  ! title : Fusion-FUS3311 ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/07/Fusion-FUS3311-3-1.jpg ! alt :  ! title : Fusion-FUS3311-3 ! desc :  ! caption : ",,https://shop.abchauz.com/product/kamal-pillar-cock-fusion-fus-3311/,simple,,"Bathroom|Taps &amp; Mixers",,,,,,,,,,,,,,,Kamal,4|1|0,,,,,,,,,,,,,,Chrome,0|1|0,,,,,,,,,,,,,,"Anti Corrosive and Easy to Clean..",3|1|0,,Brass,1|1|0,,"Pillar Cock Only",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamal Pillar Cock - Step STP-2711",kamal-pillar-cock-step-stp-2711,,3868,"This Faucet is simply the embodiment of quality and efficiency. This simply means that the pressure of the water is geared towards water efficiency without sacrificing water pressure or overall performance. Highly reflective for a mirror-like look and keep it a life long bright.",,publish,,0,"2020-07-22 13:41:52",1,open,KMLSTP2711,,,no,no,10,710,553,,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/07/Step-STP2716-1.jpg ! alt :  ! title : Step-STP2716 ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/07/step-pillar-1.jpg ! alt :  ! title : step pillar ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/07/Step-STP2716-3.jpg ! alt :  ! title : Step-STP2716-3 ! desc :  ! caption : ",,https://shop.abchauz.com/product/kamal-pillar-cock-step-stp-2711/,simple,,"Bathroom|Taps &amp; Mixers",,,,,,,,,,,,,,,Kamal,4|1|0,,,,,,,,,,,,,,Chrome,0|1|0,,,,,,,,,,,,,,"Anti Corrosive and Easy to Clean..",3|1|0,,Brass,1|1|0,,"Pillar Cock Only",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamal Push Type Pillar Cock ALD-0558",kamal-push-type-pillar-cock-ald-0558,,3869,"This Faucet is simply the embodiment of quality and efficiency. This simply means that the pressure of the water is geared towards water efficiency without sacrificing water pressure or overall performance. Highly reflective for a mirror-like look and keep it a lifelong bright.",,publish,,0,"2020-07-22 13:41:52",1,open,KMLALD0558,,,no,no,2,850,662,,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/07/Push-1.jpg ! alt :  ! title : Push ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/07/push-lyf-style3.jpg ! alt :  ! title : push- lyf style3 ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/07/Push-3.jpg ! alt :  ! title : Push-3 ! desc :  ! caption : ",,https://shop.abchauz.com/product/kamal-push-type-pillar-cock-ald-0558/,simple,,"Bathroom|Taps &amp; Mixers",,,,,,,,,,,,,,,Kamal,4|1|0,,,,,,,,,,,,,,Chrome,0|1|0,,,,,,,,,,,,,,"Anti Corrosive and Easy to Clean..",3|1|0,,Brass,1|1|0,,"Pillar Cock Only",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamal Pillar Cock - Alive LIV-3211",kamal-pillar-cock-liva-liv-3211,,3870,"This Faucet is simply the embodiment of quality and efficiency. This simply means that the pressure of the water is geared towards water efficiency without sacrificing water pressure or overall performance. Highly reflective for a mirror-like look and keep it a lifelong bright.",,publish,,0,"2020-07-22 13:41:52",1,open,KMLLIV3211,,,no,no,47,815,635,,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/07/Liva-5.jpg ! alt :  ! title : Liva ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/07/Liva-4-5.jpg ! alt :  ! title : Liva-4 ! desc :  ! caption : ",,https://shop.abchauz.com/product/kamal-pillar-cock-liva-liv-3211/,simple,,"Bathroom|Taps &amp; Mixers",,,,,,,,,,,,,,,Kamal,4|1|0,,,,,,,,,,,,,,Chrome,0|1|0,,,,,,,,,,,,,,"Anti Corrosive and Easy to Clean..",3|1|0,,Brass,1|1|0,,"Pillar Cock Only",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamal Pillar Cock - Alto ALT-2011",kamal-pillar-cock-alto-alt-2011,,3871,"This Faucet is simply the embodiment of quality and efficiency. This simply means that the pressure of the water is geared towards water efficiency without sacrificing water pressure or overall performance. Highly reflective for a mirror-like look and keep it a lifelong bright.",,publish,,0,"2020-07-22 13:41:52",1,open,KMLALT2011,,,no,no,4,525,409,,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/07/Alto-ALT2011-2.jpg ! alt :  ! title : Alto-ALT2011 ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/07/alto-pillar-1.jpg ! alt :  ! title : alto pillar ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/07/Alto-2-3.jpg ! alt :  ! title : Alto-2-3 ! desc :  ! caption : ",,https://shop.abchauz.com/product/kamal-pillar-cock-alto-alt-2011/,simple,,"Bathroom|Taps &amp; Mixers",,,,,,,,,,,,,,,Kamal,4|1|0,,,,,,,,,,,,,,Chrome,0|1|0,,,,,,,,,,,,,,"Anti Corrosive and Easy to Clean..",3|1|0,,Brass,1|1|0,,"Pillar Cock Only",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamal Pillar Cock - Orion ORN-2611",kamal-pillar-cock-orion-orn-2611,,3872,"This Faucet is simply the embodiment of quality and efficiency. This simply means that the pressure of the water is geared towards water efficiency without sacrificing water pressure or overall performance. Highly reflective for a mirror-like look and keep it a lifelong bright.",,publish,,0,"2020-07-22 13:41:52",1,open,KMLORN2611,,,no,no,9,685,533,,,,,,,instock,no,no,,yes,taxable,,,,,,0,0,,,"https://shop.abchauz.com/wp-content/uploads/2020/07/Orion-4.jpeg ! alt :  ! title : Orion ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/07/orion-lyf-style.jpg ! alt :  ! title : orion-lyf style ! desc :  ! caption :  | https://shop.abchauz.com/wp-content/uploads/2020/07/Orion-ORN2611-5.jpg ! alt :  ! title : Orion-ORN2611-5 ! desc :  ! caption : ",,https://shop.abchauz.com/product/kamal-pillar-cock-orion-orn-2611/,simple,,"Bathroom|Taps &amp; Mixers",,,,,,,,,,,,,,,Kamal,4|1|0,,,,,,,,,,,,,,Chrome,0|1|0,,,,,,,,,,,,,,"Anti Corrosive and Easy to Clean..",3|1|0,,Brass,1|1|0,,"Pillar Cock Only",2|1|0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
